ID;Distrito;Cidade/confirmada/UPA - SÓ TEM SP, NAO PODERÍAMOS TIRAR?;Relacao com UPA;Reside/UPA;Area/total hectares;Soma/area/total/propriedades/HA;Area/cultivada/inform/HA;Area/pastagem/HA;Area/veget/inform/HA;Comercializ/folhosas/hortalicas;Comercializ/raizes;Comercializ/frutas;Comercializ/legumes/graos;Comercializ/ornamentais;Comercializ/ervas/medicinais;Comercializ/mudas;Comercializ/outros;Culturas comercializadas;Especies/animais/produzidas;Comercializ/bovinos/corte;Comercializ/bovinos/leite;Comercializ/galinhas/frangos;Comercializ/patos;Comercializ/suinos;Comercializ/caprinos/corte/leite;Comercializ/cavalos;Comercializ/ovos;Comercializ/abelhas/mel;Comercializ/peixes;Comercializ/outras/especies/criadas;Comercializ/cliente/final;Comercializ/interm;Comercializ/quitandas/minimercados;Comercializ/restaur;Comercializ/supermerc;Comercializ/feiras;Comercializ/com/entrega;Comercializ/eventos;Comercializ/CEAGESP;Comercializ/entidades/sociais;Comercializ/poder/publico;Frequencia comercializacao via propriedade;Frequencia comercializacao via intermediario;Frequencia comercializacao via quitandas minimercados;Frequencia comercializacao via restaurantes;Frequencia comercializacao via supermercados;Frequencia comercializacao via feiras livres;Frequencia comercializacao via entrega;Frequencia comercializacao via eventos;Frequencia comercializacao via CEAGESP;Frequencia comercializacao via entidades sociais;Frequencia comercializacao via poder publico;Comercializ/regiao;Comercializ/outras/regioes/cid;Comercializ/outra/cid/15km;Comercializ/outra/cid;Transp/prop/distrib/prod;Embal/distrib/prod;Controle de pragas;Sexo;Faixa/etaria;Grau/instru;Renda/familiar/mensal;Faixa Renda média;Internet/freq;Possui/celular;Dificuldades/prod/classificacao1 - DIFICULDADES NO DIA A DIA PARA A PRODUÇÃO;Melhor/condicoes/trab/rendimento/classificacão1 - O QUE PRECISA PARA MELHORAR SUAS CONDIÇÕES DE TRABALHO
250;Parelheiros;Sao Paulo;Funcionario;Nao;Nao sabe;Nao se aplica;Nao respondeu;Nao tem;Nao tem;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Sim;Sim;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;2495;Nao se aplica;Nao sabe/Nao respondeu;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;Maior e melhor rendimento das atividades na propriedade
251;Parelheiros;Sao Paulo;Proprietario;Nao;24;Nao se aplica;14,4;Nao tem;1;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Toda semana ou quase toda semana;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Sim;Sim;Nao;Agroquimicos;Masculino;45 a 59 anos;Fundamental II Incompleto;De R$ 9.980,01 a R$ 19.960,00 (> 10 a 20 salarios minimos);Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Mao de obra, mais produtividades
252;Parelheiros;Sao Paulo;Proprietario;Sim;8;Nao se aplica;0,2;Nao tem;0,5;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Fundamental I Completo;3996,5;Nao se aplica;Nao sabe/Nao respondeu;Sim;Problemas com infraestrutura, logistica de escoamento da producao;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
253;Grajau;Sao Paulo;Proprietario;Sim;0,25;Nao se aplica;0,2;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao comercializa;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Sim;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Completo;2495;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de tempo, falta de coragem/ vontade;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
254;Grajau;Sao Paulo;Proprietario;Sim;48;60;48;Nao tem;Nao respondeu;Sim;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Sim;Nao;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Nao;Falta de conhecimento tecnico;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
255;Grajau;Sao Paulo;Arrendatario;Nao;6;Nao se aplica;3;Nao tem;1;Sim;Nao se aplica;Nao;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Folhosas, hortalicas, legumes e graos;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Sim;Agroquimicos;Masculino;60 anos ou mais;Ensino Medio Completo;Nao sabe/Nao respondeu;Nao se aplica;Nao sabe/Nao respondeu;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;Maior e melhor rendimento das atividades na propriedade
256;Parelheiros;Sao Paulo;Nao sabe/Nao respondeu;Sim;3;Nao se aplica;0,02;Nao tem;Nao tem;Sim;Sim;Sim;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas;Galinha, ovos;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Mais ou menos uma vez a cada tres meses;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;60 anos ou mais;Ate Fundamental I Incompleto;998;Nao se aplica;Nao sabe/Nao respondeu;Nao;Agua (falta ou excesso)/ Questoes climaticas;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
257;Marsilac;Sao Paulo;Proprietario;Sim;7,126;Nao se aplica;0,1;0,2;0,2;Nao;Nao;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Frutas;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Sim;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Sim;Sim;Nao;Naturais/organicos;Feminino;45 a 59 anos;Ensino Superior Completo ou mais;2495;998;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
258;Grajau;Sao Paulo;Proprietario;Sim;0,05;Nao se aplica;0,003;Nao tem;Nao tem;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao se aplica;Frutas;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Menos de duas vezes por ano;Mais ou menos uma vez a cada tres meses;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Agroquimicos e naturais/organicos;Feminino;45 a 59 anos;Ate Fundamental I Incompleto;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;Insumos: adubo, calcario, mudas, sementes e ferramentas. Facilidade na compra e doacao por parte da prefeitura
259;Parelheiros;Sao Paulo;Comodatario;Sim;0,125;Nao se aplica;0,092;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao se aplica;Ornamentais ;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Sim;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Incompleto;3996,5;998;Todos os dias ou quase todos os dias;Nao;Problemas com infraestrutura, logistica de escoamento da producao;Mais maquinarios agricolas, caminhao e trator
260;Grajau;Sao Paulo;Arrendatario;Sim;0,005;Nao se aplica;0,005;Nao tem;Nao tem;Nao;Nao;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;1497;Nao se aplica;Nao sabe/Nao respondeu;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;Nao sabe/Nao respondeu/ Nao possui demandas
261;Marsilac;Sao Paulo;Proprietario;Sim;0,11;Nao se aplica;0,08;Nao tem;0,005;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ensino Superior Incompleto;7485;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Mao de obra, mais produtividades
262;Grajau;Sao Paulo;Posseiro;Sim;6;Nao se aplica;2;Nao tem;0,03;Nao;Sim;Sim;Nao;Nao se aplica;Nao;Nao se aplica;Sim;Raizes, frutas, cana, anapie;Galinha, patos, suinos, cavalos, ovos;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao se aplica;Sim;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Toda semana ou quase toda semana;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;998;Nao se aplica;Nao sabe/Nao respondeu;Sim;Faltam recursos financeiros;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
263;Marsilac;Sao Paulo;Proprietario;Sim;4;Nao se aplica;2;Nao tem;0,2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ervas medicinais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Sim;Sim;Agroquimicos;Masculino;45 a 59 anos;Ensino Medio Incompleto;2495;Nao se aplica;Pelo menos uma vez por semana;Sim;Agua (falta ou excesso)/ Questoes climaticas;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
264;Parelheiros;Sao Paulo;Arrendatario;Sim;0,367;Nao se aplica;0,03;0,2;Nao tem;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Bovino de leite, galinha, suinos, cavalos, ovos;Nao se aplica;Nao;Nao;Nao se aplica;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;25 a 34 anos;Ensino Medio Incompleto;1497;Nao se aplica;Pelo menos uma vez por semana;Nao;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
265;Grajau;Sao Paulo;Arrendatario;Nao;5;17;3;Nao tem;2;Sim;Sim;Nao;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Folhosas, hortalicas, raizes, legumes e graos;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Sim;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;3996,5;Nao se aplica;Nao sabe/Nao respondeu;Sim;Problemas de saude, idade;Mais maquinarios agricolas, caminhao e trator
266;Parelheiros;Sao Paulo;Proprietario;Nao;45;Nao se aplica;35;Nao tem;0;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Nao;Nao realiza;Masculino;25 a 34 anos;Ensino Medio Completo;3996,5;Nao se aplica;Todos os dias ou quase todos os dias;Nao;Nao possui dificuldades/ Nao sabe/Nao respondeu;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
267;Marsilac;Sao Paulo;Funcionario;Nao;0,2;Nao se aplica;0,2;Nao tem;Nao tem;Sim;Sim;Nao;Sim;Nao se aplica;Nao;Nao;Nao se aplica;Folhosas, hortalicas, raizes, legumes e graos;Galinha, patos, suinos, ovos;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Sim;Sim;Nao;Nao;Nao;Sim;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Sim;Sim;Sim;Nao;Sim;Nao;Nao realiza;Masculino;35 a 44 anos;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;1497;Todos os dias ou quase todos os dias;Nao;Agua (falta ou excesso)/ Questoes climaticas;Mais maquinarios agricolas, caminhao e trator
268;Marsilac;Sao Paulo;Proprietario;Sim;0,21;Nao se aplica;0,2;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Sim;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Nao;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Completo;2495;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Falta de tempo, falta de coragem/ vontade;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
269;Parelheiros;Sao Paulo;Proprietario;Sim;0,6;2,4;0,3;Nao tem;0,1;Nao se aplica;Nao;Nao;Nao;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Agroquimicos;Masculino;25 a 34 anos;Ensino Medio Completo;3996,5;3996,5;Todos os dias ou quase todos os dias;Sim;Problemas com infraestrutura, logistica de escoamento da producao;Mais maquinarios agricolas, caminhao e trator
270;Grajau;Sao Paulo;Proprietario;Sim;0,03;Nao se aplica;0,001;Nao tem;Nao respondeu;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Peixes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Sim;Nao;Sim;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;998;Nao se aplica;Pelo menos uma vez por mes;Nao;Falta de tempo, falta de coragem/ vontade;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
271;Grajau;Sao Paulo;Proprietario;Nao;0,002;Nao se aplica;Nao respondeu;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Naturais/organicos;Feminino;60 anos ou mais;Ensino Medio Completo;2495;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Mais terra para plantar
272;Grajau;Sao Paulo;Proprietario;Nao;3,4;Nao se aplica;0,2;3;0,03;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Bovino de leite, galinha, suinos, cavalos, ovos;Nao se aplica;Sim;Sim;Nao se aplica;Sim;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;45 a 59 anos;Fundamental II Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Faltam canais de comercializacao;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
